,Mean,Lower_ci,Upper_ci,Date,City
7667,126157.13221322416,121283.47524198076,131030.78918446756,2022-01,"Glasgow, KY"
7668,126369.07982275731,121264.62072991591,131473.5389155987,2022-02,"Glasgow, KY"
7669,126580.68552543892,121254.75367157123,131906.6173793066,2022-03,"Glasgow, KY"
7670,126792.04492931948,121253.02854946176,132331.06130917722,2022-04,"Glasgow, KY"
7671,127003.22690739202,121258.70467553106,132747.749139253,2022-05,"Glasgow, KY"
7672,127214.2810735661,121271.13188456006,133157.43026257213,2022-06,"Glasgow, KY"
7673,127425.24316812123,121289.73819671298,133560.7481395295,2022-07,"Glasgow, KY"
7674,127636.13893721592,121314.0191726639,133958.25870176795,2022-08,"Glasgow, KY"
7675,127846.98692756234,121343.5287423291,134350.44511279557,2022-09,"Glasgow, KY"
7676,128057.80049962096,121377.87131855315,134737.7296806888,2022-10,"Glasgow, KY"
7677,128268.5892778418,121416.69502773289,135120.4835279507,2022-11,"Glasgow, KY"
7678,128479.36019537196,121459.68590684615,135499.0344838978,2022-12,"Glasgow, KY"
7679,128690.11824662967,121506.56293274708,135873.67356051228,2023-01,"Glasgow, KY"
7680,705601.6209412311,692992.757508129,718210.4843743333,2021-02,"Edwards, CO"
7681,706949.6346907956,688407.5540647451,725491.715316846,2021-03,"Edwards, CO"
7682,708310.156578218,684749.5101843503,731870.8029720857,2021-04,"Edwards, CO"
7683,709682.6129182001,681516.9223171095,737848.3035192906,2021-05,"Edwards, CO"
7684,711066.4563374994,678529.0356335343,743603.8770414646,2021-06,"Edwards, CO"
7685,712461.1645681277,675700.3338104539,749221.9953258015,2021-07,"Edwards, CO"
7686,713866.2392958995,672984.4037609235,754748.0748308755,2021-08,"Edwards, CO"
7687,715281.2050617918,670353.8931213636,760208.51700222,2021-09,"Edwards, CO"
7688,716705.6082136928,667791.7930656607,765619.4233617248,2021-10,"Edwards, CO"
7689,718139.0159062285,665287.1320712022,770990.8997412547,2021-11,"Edwards, CO"
7690,719581.0151464627,662832.6498572819,776329.3804356435,2021-12,"Edwards, CO"
7691,721031.2118833658,660423.4552602281,781638.9685065034,2022-01,"Edwards, CO"
7692,722489.2301390441,658056.2118434801,786922.2484346081,2022-02,"Edwards, CO"
7693,723954.7111798171,655728.6239276025,792180.7984320316,2022-03,"Edwards, CO"
7694,725427.3127253117,653439.1019751275,797415.523475496,2022-04,"Edwards, CO"
7695,726906.7081938318,651186.5392837398,802626.8771039239,2022-05,"Edwards, CO"
7696,728392.5859823395,648970.1600032975,807815.0119613814,2022-06,"Edwards, CO"
7697,729884.6487794587,646789.4140906179,812979.8834682995,2022-07,"Edwards, CO"
7698,731382.6129099894,644643.9038525411,818121.3219674377,2022-08,"Edwards, CO"
7699,732886.2077094844,642533.3321513007,823239.083267668,2022-09,"Edwards, CO"
7700,734395.1749275117,640457.4657022178,828332.8841528057,2022-10,"Edwards, CO"
7701,735909.2681582863,638416.1090263433,833402.4272902294,2022-11,"Edwards, CO"
7702,737428.2522974159,636409.086007878,838447.4185869538,2022-12,"Edwards, CO"
7703,738951.9030235623,634436.22692731,843467.5791198146,2023-01,"Edwards, CO"
7704,119412.68249866595,118753.68210750446,120071.68288982744,2021-02,"Malone, NY"
7705,119903.24949757634,118877.67912907273,120928.81986607995,2021-03,"Malone, NY"
7706,120385.61546721566,119015.49210519293,121755.73882923838,2021-04,"Malone, NY"
7707,120860.04556879678,119147.57254395778,122572.51859363577,2021-05,"Malone, NY"
7708,121326.79639016131,119268.35279809625,123385.23998222637,2021-06,"Malone, NY"
7709,121786.11622297962,119376.09581250955,124196.13663344969,2021-07,"Malone, NY"
7710,122238.24533098821,119470.48108170349,125006.00958027293,2021-08,"Malone, NY"
7711,122683.41620955431,119551.78705065385,125815.04536845478,2021-09,"Malone, NY"
7712,123121.85383684805,119620.55787470902,126623.14979898708,2021-10,"Malone, NY"
7713,123553.77591689353,119677.4515214518,127430.10031233526,2021-11,"Malone, NY"
7714,123979.39311476142,119723.16554047134,128235.6206890515,2021-12,"Malone, NY"
7715,124398.90928415715,119758.3993279136,129039.4192404007,2022-01,"Malone, NY"
7716,124812.5216876506,119783.8347119142,129841.208663387,2022-02,"Malone, NY"
7717,125220.42120978508,119800.12618188035,130640.71623768982,2022-03,"Malone, NY"
7718,125622.79256329607,119807.89636266975,131437.6887639224,2022-04,"Malone, NY"
7719,126019.8144886622,119807.7343973296,132231.8945799948,2022-05,"Malone, NY"
7720,126411.65994720433,119800.19595192104,133023.1239424876,2022-06,"Malone, NY"
7721,126798.49630794118,119785.80411430847,133811.1885015739,2022-07,"Malone, NY"
7722,127180.4855284034,119765.05076657812,134595.92029022868,2022-08,"Malone, NY"
7723,127557.78432960145,119738.39818544529,135377.1704737576,2022-09,"Malone, NY"
7724,127930.54436533633,119706.2807265326,136154.80800414007,2022-10,"Malone, NY"
7725,128298.912386036,119669.10650850685,136928.71826356516,2022-11,"Malone, NY"
7726,128663.03039729454,119627.25904913955,137698.8017454495,2022-12,"Malone, NY"
7727,129023.03581328534,119581.09882720184,138464.97279936884,2023-01,"Malone, NY"
7728,327537.09931604617,324170.43933941866,330903.75929267367,2021-02,"Boone, NC"
7729,330497.221767147,325458.86034839967,335535.58318589436,2021-03,"Boone, NC"
7730,333411.09523089003,326901.7326552788,339920.45780650125,2021-04,"Boone, NC"
7731,336279.77303601307,328374.2938219582,344185.25225006795,2021-05,"Boone, NC"
7732,339104.2845215086,329833.64099844184,348374.9280445754,2021-06,"Boone, NC"
7733,341885.6355829944,331260.8509520666,352510.42021392216,2021-07,"Boone, NC"
7734,344624.8092066403,332646.7081308665,356602.91028241406,2021-08,"Boone, NC"
7735,347322.76599093515,333986.65015384345,360658.88182802685,2021-09,"Boone, NC"
7736,349980.44465657,335278.5876608096,364682.3016523304,2021-10,"Boone, NC"
7737,352598.7625447086,336521.8369011573,368675.68818825996,2021-11,"Boone, NC"
7738,355178.61610391026,337716.54877301434,372640.6834348062,2021-12,"Boone, NC"
7739,357720.88136596204,338863.38294404635,376578.3797878777,2022-01,"Boone, NC"
7740,360226.4144108747,339963.31250996253,380489.5163117869,2022-02,"Boone, NC"
7741,362696.0518212878,341017.5024091256,384374.60123344994,2022-03,"Boone, NC"
7742,365130.61112652544,342027.23151724646,388233.99073580443,2022-04,"Boone, NC"
7743,367530.89123653923,342993.84161634446,392067.940856734,2022-05,"Boone, NC"
7744,369897.67286596756,343918.7034247064,395876.6423072287,2022-06,"Boone, NC"
